path:senv00010	Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00020	Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00030	Pentose phosphate pathway - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00040	Pentose and glucuronate interconversions - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00051	Fructose and mannose metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00052	Galactose metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00053	Ascorbate and aldarate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00061	Fatty acid biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00071	Fatty acid degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00130	Ubiquinone and other terpenoid-quinone biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00190	Oxidative phosphorylation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00220	Arginine biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00230	Purine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00240	Pyrimidine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00250	Alanine, aspartate and glutamate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00260	Glycine, serine and threonine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00261	Monobactam biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00270	Cysteine and methionine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00280	Valine, leucine and isoleucine degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00281	Geraniol degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00290	Valine, leucine and isoleucine biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00300	Lysine biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00310	Lysine degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00330	Arginine and proline metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00332	Carbapenem biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00340	Histidine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00350	Tyrosine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00360	Phenylalanine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00361	Chlorocyclohexane and chlorobenzene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00362	Benzoate degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00364	Fluorobenzoate degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00380	Tryptophan metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00401	Novobiocin biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00410	beta-Alanine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00430	Taurine and hypotaurine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00440	Phosphonate and phosphinate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00450	Selenocompound metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00460	Cyanoamino acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00471	D-Glutamine and D-glutamate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00473	D-Alanine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00480	Glutathione metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00500	Starch and sucrose metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00520	Amino sugar and nucleotide sugar metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00521	Streptomycin biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00523	Polyketide sugar unit biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00525	Acarbose and validamycin biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00540	Lipopolysaccharide biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00550	Peptidoglycan biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00561	Glycerolipid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00562	Inositol phosphate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00564	Glycerophospholipid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00565	Ether lipid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00590	Arachidonic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00592	alpha-Linolenic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00600	Sphingolipid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00620	Pyruvate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00623	Toluene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00624	Polycyclic aromatic hydrocarbon degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00625	Chloroalkane and chloroalkene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00626	Naphthalene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00627	Aminobenzoate degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00630	Glyoxylate and dicarboxylate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00633	Nitrotoluene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00640	Propanoate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00650	Butanoate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00660	C5-Branched dibasic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00670	One carbon pool by folate - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00680	Methane metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00730	Thiamine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00740	Riboflavin metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00750	Vitamin B6 metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00760	Nicotinate and nicotinamide metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00770	Pantothenate and CoA biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00780	Biotin metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00785	Lipoic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00790	Folate biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00860	Porphyrin and chlorophyll metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00900	Terpenoid backbone biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00903	Limonene and pinene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00910	Nitrogen metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00920	Sulfur metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00930	Caprolactam degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv00970	Aminoacyl-tRNA biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv01040	Biosynthesis of unsaturated fatty acids - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv01053	Biosynthesis of siderophore group nonribosomal peptides - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv01054	Nonribosomal peptide structures - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv01100	Metabolic pathways - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv01110	Biosynthesis of secondary metabolites - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv01120	Microbial metabolism in diverse environments - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv01130	Biosynthesis of antibiotics - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv01200	Carbon metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
