path:sena00010	Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00020	Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00030	Pentose phosphate pathway - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00040	Pentose and glucuronate interconversions - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00051	Fructose and mannose metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00052	Galactose metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00053	Ascorbate and aldarate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00061	Fatty acid biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00071	Fatty acid degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00130	Ubiquinone and other terpenoid-quinone biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00190	Oxidative phosphorylation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00220	Arginine biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00230	Purine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00240	Pyrimidine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00250	Alanine, aspartate and glutamate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00260	Glycine, serine and threonine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00261	Monobactam biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00270	Cysteine and methionine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00280	Valine, leucine and isoleucine degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00281	Geraniol degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00290	Valine, leucine and isoleucine biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00300	Lysine biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00310	Lysine degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00330	Arginine and proline metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00332	Carbapenem biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00340	Histidine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00350	Tyrosine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00360	Phenylalanine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00361	Chlorocyclohexane and chlorobenzene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00362	Benzoate degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00364	Fluorobenzoate degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00380	Tryptophan metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00401	Novobiocin biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00410	beta-Alanine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00430	Taurine and hypotaurine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00440	Phosphonate and phosphinate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
