path:sek00010	Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00020	Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00030	Pentose phosphate pathway - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00040	Pentose and glucuronate interconversions - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00051	Fructose and mannose metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00052	Galactose metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00053	Ascorbate and aldarate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00061	Fatty acid biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00071	Fatty acid degradation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00130	Ubiquinone and other terpenoid-quinone biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00190	Oxidative phosphorylation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00220	Arginine biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00230	Purine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00240	Pyrimidine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00250	Alanine, aspartate and glutamate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00260	Glycine, serine and threonine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00261	Monobactam biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00270	Cysteine and methionine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00280	Valine, leucine and isoleucine degradation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00281	Geraniol degradation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00290	Valine, leucine and isoleucine biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00300	Lysine biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00310	Lysine degradation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00330	Arginine and proline metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00332	Carbapenem biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00340	Histidine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00350	Tyrosine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00360	Phenylalanine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00361	Chlorocyclohexane and chlorobenzene degradation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00362	Benzoate degradation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00364	Fluorobenzoate degradation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00380	Tryptophan metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00401	Novobiocin biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00410	beta-Alanine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00430	Taurine and hypotaurine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00440	Phosphonate and phosphinate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00450	Selenocompound metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00460	Cyanoamino acid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00471	D-Glutamine and D-glutamate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00473	D-Alanine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00480	Glutathione metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00500	Starch and sucrose metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00520	Amino sugar and nucleotide sugar metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00521	Streptomycin biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00523	Polyketide sugar unit biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00525	Acarbose and validamycin biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00540	Lipopolysaccharide biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00550	Peptidoglycan biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00561	Glycerolipid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00562	Inositol phosphate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00564	Glycerophospholipid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00565	Ether lipid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00590	Arachidonic acid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00592	alpha-Linolenic acid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00620	Pyruvate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00623	Toluene degradation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00624	Polycyclic aromatic hydrocarbon degradation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00625	Chloroalkane and chloroalkene degradation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00626	Naphthalene degradation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00627	Aminobenzoate degradation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00630	Glyoxylate and dicarboxylate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00633	Nitrotoluene degradation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00640	Propanoate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00650	Butanoate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00660	C5-Branched dibasic acid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00670	One carbon pool by folate - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00680	Methane metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00730	Thiamine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00740	Riboflavin metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00750	Vitamin B6 metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00760	Nicotinate and nicotinamide metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00770	Pantothenate and CoA biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00780	Biotin metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00785	Lipoic acid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00790	Folate biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00860	Porphyrin and chlorophyll metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00900	Terpenoid backbone biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00903	Limonene and pinene degradation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00910	Nitrogen metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00920	Sulfur metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00930	Caprolactam degradation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek00970	Aminoacyl-tRNA biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek01040	Biosynthesis of unsaturated fatty acids - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek01053	Biosynthesis of siderophore group nonribosomal peptides - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek01054	Nonribosomal peptide structures - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek01100	Metabolic pathways - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek01110	Biosynthesis of secondary metabolites - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek01120	Microbial metabolism in diverse environments - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek01130	Biosynthesis of antibiotics - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek01200	Carbon metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek01210	2-Oxocarboxylic acid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek01212	Fatty acid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek01220	Degradation of aromatic compounds - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek01230	Biosynthesis of amino acids - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek01501	beta-Lactam resistance - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek01502	Vancomycin resistance - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek01503	Cationic antimicrobial peptide (CAMP) resistance - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek02010	ABC transporters - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek02020	Two-component system - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek02024	Quorum sensing - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek02030	Bacterial chemotaxis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek02040	Flagellar assembly - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek02060	Phosphotransferase system (PTS) - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek03010	Ribosome - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
