path:senn00010	Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00020	Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00030	Pentose phosphate pathway - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00040	Pentose and glucuronate interconversions - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00051	Fructose and mannose metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00052	Galactose metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00053	Ascorbate and aldarate metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00061	Fatty acid biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00071	Fatty acid degradation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00130	Ubiquinone and other terpenoid-quinone biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00190	Oxidative phosphorylation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00220	Arginine biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00230	Purine metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00240	Pyrimidine metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00250	Alanine, aspartate and glutamate metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00260	Glycine, serine and threonine metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00261	Monobactam biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00270	Cysteine and methionine metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00280	Valine, leucine and isoleucine degradation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00281	Geraniol degradation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00290	Valine, leucine and isoleucine biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00300	Lysine biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00310	Lysine degradation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00330	Arginine and proline metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00332	Carbapenem biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00340	Histidine metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00350	Tyrosine metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00360	Phenylalanine metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00361	Chlorocyclohexane and chlorobenzene degradation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00362	Benzoate degradation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00364	Fluorobenzoate degradation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00380	Tryptophan metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00401	Novobiocin biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00410	beta-Alanine metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00430	Taurine and hypotaurine metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00440	Phosphonate and phosphinate metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00450	Selenocompound metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00460	Cyanoamino acid metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00471	D-Glutamine and D-glutamate metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00473	D-Alanine metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00480	Glutathione metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00500	Starch and sucrose metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00520	Amino sugar and nucleotide sugar metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00521	Streptomycin biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00523	Polyketide sugar unit biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00525	Acarbose and validamycin biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00540	Lipopolysaccharide biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00550	Peptidoglycan biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00561	Glycerolipid metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00562	Inositol phosphate metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00564	Glycerophospholipid metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00565	Ether lipid metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00590	Arachidonic acid metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00592	alpha-Linolenic acid metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00600	Sphingolipid metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00620	Pyruvate metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00623	Toluene degradation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00624	Polycyclic aromatic hydrocarbon degradation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00625	Chloroalkane and chloroalkene degradation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00626	Naphthalene degradation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00627	Aminobenzoate degradation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00630	Glyoxylate and dicarboxylate metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00633	Nitrotoluene degradation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00640	Propanoate metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00650	Butanoate metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00660	C5-Branched dibasic acid metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
