path:sne00010	Glycolysis / Gluconeogenesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00020	Citrate cycle (TCA cycle) - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00030	Pentose phosphate pathway - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00040	Pentose and glucuronate interconversions - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00051	Fructose and mannose metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00052	Galactose metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00053	Ascorbate and aldarate metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00061	Fatty acid biosynthesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00190	Oxidative phosphorylation - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00220	Arginine biosynthesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00230	Purine metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00240	Pyrimidine metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00250	Alanine, aspartate and glutamate metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00260	Glycine, serine and threonine metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00261	Monobactam biosynthesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00270	Cysteine and methionine metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00280	Valine, leucine and isoleucine degradation - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00290	Valine, leucine and isoleucine biosynthesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00300	Lysine biosynthesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00330	Arginine and proline metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00332	Carbapenem biosynthesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00362	Benzoate degradation - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00430	Taurine and hypotaurine metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00450	Selenocompound metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00460	Cyanoamino acid metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00471	D-Glutamine and D-glutamate metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00473	D-Alanine metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00480	Glutathione metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
