path:spt00010	Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00020	Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00030	Pentose phosphate pathway - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00040	Pentose and glucuronate interconversions - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00051	Fructose and mannose metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00052	Galactose metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00053	Ascorbate and aldarate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00061	Fatty acid biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00071	Fatty acid degradation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00130	Ubiquinone and other terpenoid-quinone biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00190	Oxidative phosphorylation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00220	Arginine biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00230	Purine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00240	Pyrimidine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00250	Alanine, aspartate and glutamate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00260	Glycine, serine and threonine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00261	Monobactam biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00270	Cysteine and methionine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00280	Valine, leucine and isoleucine degradation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00281	Geraniol degradation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00290	Valine, leucine and isoleucine biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00300	Lysine biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00310	Lysine degradation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00330	Arginine and proline metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00332	Carbapenem biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00340	Histidine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00350	Tyrosine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00360	Phenylalanine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00361	Chlorocyclohexane and chlorobenzene degradation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00362	Benzoate degradation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00364	Fluorobenzoate degradation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
