path:senq00010	Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00020	Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00030	Pentose phosphate pathway - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00040	Pentose and glucuronate interconversions - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00051	Fructose and mannose metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00052	Galactose metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00053	Ascorbate and aldarate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00061	Fatty acid biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00071	Fatty acid degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00130	Ubiquinone and other terpenoid-quinone biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00190	Oxidative phosphorylation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00220	Arginine biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00230	Purine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00240	Pyrimidine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00250	Alanine, aspartate and glutamate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00260	Glycine, serine and threonine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00261	Monobactam biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00270	Cysteine and methionine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00280	Valine, leucine and isoleucine degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00281	Geraniol degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00290	Valine, leucine and isoleucine biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00300	Lysine biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00310	Lysine degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00330	Arginine and proline metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00332	Carbapenem biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00340	Histidine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00350	Tyrosine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00360	Phenylalanine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00361	Chlorocyclohexane and chlorobenzene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00362	Benzoate degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00364	Fluorobenzoate degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
