path:seno00010	Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00020	Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00030	Pentose phosphate pathway - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00040	Pentose and glucuronate interconversions - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00051	Fructose and mannose metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00052	Galactose metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00053	Ascorbate and aldarate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00061	Fatty acid biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00071	Fatty acid degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00130	Ubiquinone and other terpenoid-quinone biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00190	Oxidative phosphorylation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00220	Arginine biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00230	Purine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00240	Pyrimidine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00250	Alanine, aspartate and glutamate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00260	Glycine, serine and threonine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00261	Monobactam biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00270	Cysteine and methionine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00280	Valine, leucine and isoleucine degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00281	Geraniol degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00290	Valine, leucine and isoleucine biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00300	Lysine biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00310	Lysine degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00330	Arginine and proline metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00332	Carbapenem biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00340	Histidine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00350	Tyrosine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00360	Phenylalanine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00361	Chlorocyclohexane and chlorobenzene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00362	Benzoate degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00364	Fluorobenzoate degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00380	Tryptophan metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00401	Novobiocin biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00410	beta-Alanine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00430	Taurine and hypotaurine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00440	Phosphonate and phosphinate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00450	Selenocompound metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00460	Cyanoamino acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00471	D-Glutamine and D-glutamate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00473	D-Alanine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00480	Glutathione metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00500	Starch and sucrose metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00520	Amino sugar and nucleotide sugar metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00521	Streptomycin biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00523	Polyketide sugar unit biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00525	Acarbose and validamycin biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00540	Lipopolysaccharide biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00550	Peptidoglycan biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00561	Glycerolipid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00562	Inositol phosphate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00564	Glycerophospholipid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00565	Ether lipid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00590	Arachidonic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00592	alpha-Linolenic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00600	Sphingolipid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00620	Pyruvate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00623	Toluene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00624	Polycyclic aromatic hydrocarbon degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00625	Chloroalkane and chloroalkene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00626	Naphthalene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00627	Aminobenzoate degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00630	Glyoxylate and dicarboxylate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00633	Nitrotoluene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00640	Propanoate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00650	Butanoate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00660	C5-Branched dibasic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00670	One carbon pool by folate - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00680	Methane metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00730	Thiamine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00740	Riboflavin metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00750	Vitamin B6 metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00760	Nicotinate and nicotinamide metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00770	Pantothenate and CoA biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00780	Biotin metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00785	Lipoic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00790	Folate biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00860	Porphyrin and chlorophyll metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00900	Terpenoid backbone biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00903	Limonene and pinene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00910	Nitrogen metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00920	Sulfur metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00930	Caprolactam degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno00970	Aminoacyl-tRNA biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno01040	Biosynthesis of unsaturated fatty acids - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno01053	Biosynthesis of siderophore group nonribosomal peptides - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno01054	Nonribosomal peptide structures - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno01100	Metabolic pathways - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno01110	Biosynthesis of secondary metabolites - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno01120	Microbial metabolism in diverse environments - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno01130	Biosynthesis of antibiotics - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno01200	Carbon metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno01210	2-Oxocarboxylic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno01212	Fatty acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno01220	Degradation of aromatic compounds - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno01230	Biosynthesis of amino acids - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno01501	beta-Lactam resistance - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno01502	Vancomycin resistance - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno01503	Cationic antimicrobial peptide (CAMP) resistance - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno02010	ABC transporters - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno02020	Two-component system - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno02024	Quorum sensing - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno02030	Bacterial chemotaxis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno02040	Flagellar assembly - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno02060	Phosphotransferase system (PTS) - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno03010	Ribosome - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno03018	RNA degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno03020	RNA polymerase - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno03030	DNA replication - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno03060	Protein export - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno03070	Bacterial secretion system - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno03410	Base excision repair - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno03420	Nucleotide excision repair - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno03430	Mismatch repair - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno03440	Homologous recombination - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno04122	Sulfur relay system - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno05100	Bacterial invasion of epithelial cells - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
path:seno05132	Salmonella infection - Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
