path:pfre00010	Glycolysis / Gluconeogenesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00020	Citrate cycle (TCA cycle) - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00030	Pentose phosphate pathway - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00040	Pentose and glucuronate interconversions - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00051	Fructose and mannose metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00052	Galactose metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00061	Fatty acid biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00071	Fatty acid degradation - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00130	Ubiquinone and other terpenoid-quinone biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00190	Oxidative phosphorylation - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00220	Arginine biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00230	Purine metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00240	Pyrimidine metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00250	Alanine, aspartate and glutamate metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00260	Glycine, serine and threonine metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00261	Monobactam biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00270	Cysteine and methionine metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00280	Valine, leucine and isoleucine degradation - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00290	Valine, leucine and isoleucine biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00300	Lysine biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00310	Lysine degradation - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00330	Arginine and proline metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00332	Carbapenem biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00340	Histidine metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00350	Tyrosine metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00360	Phenylalanine metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00362	Benzoate degradation - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00380	Tryptophan metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00401	Novobiocin biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00410	beta-Alanine metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00430	Taurine and hypotaurine metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00440	Phosphonate and phosphinate metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00450	Selenocompound metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00460	Cyanoamino acid metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00471	D-Glutamine and D-glutamate metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00473	D-Alanine metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00480	Glutathione metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00500	Starch and sucrose metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00520	Amino sugar and nucleotide sugar metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00521	Streptomycin biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00523	Polyketide sugar unit biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00525	Acarbose and validamycin biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
